"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42189.0","42098.0","42007.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40089.0","39998.0","39907.0","39816.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","49.393","47.456","45.046","46.045","44.468","43.324","41.527","40.637","39.561","37.36","38.0","39.191","38.819","37.572","36.309","34.179","32.282","31.381","30.964","29.84","28.349","27.833","26.304","27.048","27.198","25.869","24.214","24.043","21.798","22.273","22.51","23.059","22.291","20.412","20.948","24.003","24.571","24.12","22.224"
"Tangible Book Value per Share","67.675","65.244","62.704","62.522","60.718","59.318","57.59","60.194","58.604","56.546","56.731","55.644","54.547","52.796","52.933","52.768","50.608","50.041","49.96","49.477","47.586","46.677","46.199","45.225","48.218","48.509","47.21","42.205","40.434","39.927","41.843","39.976","34.44","32.736","29.395","31.637","32.144","31.537","29.714"
"FCF per Share","1.924","3.019","2.463","1.653","2.456","2.105","2.444","1.64","2.289","1.033","1.468","1.133","1.756","1.206","1.895","1.12","1.608","1.051","1.43","0.861","1.271","0.775","1.003","0.498","-0.445","0.163","0.622","0.098","0.872","0.083","1.407","1.137","2.357","0.014","0.435","0.162","1.09","1.042","0.655"
"Interest Debt per Share","19.1315","17.6615","17.3873","15.4483","15.3115","15.2392","15.148","16.1394","15.8761","16.2341","15.8227","15.821","15.6248","15.0567","16.701","16.8179","16.7749","16.7993","16.7629","16.9794","16.9141","16.8299","16.9089","16.8711","20.1117","20.1117","20.1862","16.0172","15.9207","15.8512","18.3931","18.5338","14.1993","14.2087","8.9635","8.9722","9.0833","9.0991","8.9913"
"Cash per Share","1.5398","2.1244","1.3356","2.0259","2.0637","1.8296","1.5972","2.0516","2.1446","1.969","2.2874","2.1463","1.9931","2.1959","3.7388","3.1357","3.0017","3.6638","3.6856","3.0206","2.9828","2.7766","3.189","3.1907","7.1856","8.8883","9.8655","6.1945","7.4276","8.1713","12.0586","12.2877","9.0884","6.9687","2.0139","2.0574","2.441","1.9878","1.6146"
"Debt to Equity Ratio","0.3873","0.3722","0.386","0.3355","0.3443","0.3518","0.3648","0.3972","0.4013","0.4345","0.4164","0.4037","0.4025","0.4007","0.46","0.4921","0.5196","0.5353","0.5414","0.569","0.5966","0.6047","0.6428","0.6237","0.7395","0.7774","0.8337","0.6662","0.7304","0.7117","0.8171","0.8038","0.637","0.6961","0.4279","0.3738","0.3697","0.3772","0.4046"
"Total Debt To Total Assets","0.2182","0.2096","0.2139","0.1948","0.1975","0.1996","0.2032","0.2088","0.2101","0.2213","0.2133","0.2153","0.2147","0.2135","0.2365","0.2387","0.2464","0.2509","0.25","0.2557","0.2631","0.264","0.2679","0.2705","0.3059","0.3048","0.3139","0.2691","0.2787","0.2771","0.3095","0.3204","0.2725","0.284","0.1902","0.1792","0.1776","0.1798","0.1873"
"Interest Coverage","17.9615","17.0787","17.1221","15.6031","16.6822","15.1908","15.6692","14.1308","14.6589","13.4846","13.3986","12.9764","13.4409","11.2336","10.7273","9.7083","10.4855","9.9412","9.6389","9.0147","9.2518","8.6403","9.1852","7.5099","8.227","6.1166","6.844","6.2074","5.9697","4.9857","4.6122","3.7891","5.7414","7.1744","10.977","12.9706","12.5227","9.9368","8.2696"
"Current Ratio","1.894","2.032","1.904","2.172","2.171","2.2","2.669","2.486","2.565","2.537","2.586","2.535","2.596","2.796","2.511","2.457","2.422","2.502","2.833","2.612","2.608","2.712","2.622","2.675","2.251","2.061","2.004","1.808","2.299","2.44","2.265","2.581","2.325","2.246","2.083","1.954","1.946","1.931","1.858"
"Income Quality","0.8296","1.3588","1.0971","0.8497","1.157","1.1037","1.1804","0.9735","1.3358","0.7068","0.8812","0.8486","1.1725","0.9208","1.2963","0.9965","1.2455","0.9143","1.2163","0.9406","1.2003","0.9155","0.9731","0.6195","-0.1756","0.4964","1.1105","0.2194","1.2252","0.2826","2.6421","3.1535","4.1604","0.4224","0.8157","0.4451","1.1046","1.3145","0.9459"
"Payout Ratio","0.268","0.29","0.283","0.269","0.253","0.276","0.27","0.264","0.256","0.279","0.265","0.247","0.24","0.267","0.272","0.262","0.25","0.268","0.262","0.268","0.26","0.279","0.266","0.276","0.239","0.33","0.32","0.375","0.385","0.469","0.469","0.682","0.462","0.492","0.294","0.316","0.259","0.306","0.303"
"Intangible Assets out of Total Assets","0.228","0.2256","0.2287","0.2117","0.217","0.2232","0.2274","0.2213","0.2245","0.2292","0.2353","0.2426","0.2505","0.2513","0.2504","0.2511","0.2565","0.2526","0.2549","0.255","0.2598","0.2677","0.2679","0.2749","0.2666","0.2648","0.2658","0.2908","0.2922","0.302","0.296","0.3088","0.3391","0.3457","0.3764","0.3683","0.3714","0.3769","0.381"
"Selling, General and Administrative Expense of Revenue","0.2796","0.2889","0.2778","0.2887","0.2813","0.2886","0.2733","0.2983","0.2946","0.3075","0.2902","0.3062","0.2987","0.3068","0.3017","0.3169","0.3159","0.317","0.3022","0.3247","0.3154","0.3236","0.3005","0.322","0.3215","0.3382","0.3215","0.3318","0.3398","0.342","0.3412","0.3513","0.3254","0.3449","0.3075","0.3222","0.3131","0.3286","0.3217"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","960300000.0","1002600000.0","894500000.0","1030100000.0","999300000.0","1004300000.0","1118600000.0","1167400000.0","1158100000.0","1116800000.0","1139900000.0","1126300000.0","1112100000.0","1136800000.0","1080800000.0","1057400000.0","990100000.0","1006100000.0","1079800000.0","1002300000.0","958700000.0","968700000.0","946900000.0","953900000.0","964900000.0","928400000.0","884400000.0","684500000.0","839700000.0","889300000.0","936200000.0","1016100000.0","823200000.0","752500000.0","593200000.0","625700000.0","635600000.0","609800000.0","548200000.0"
"Tangible Asset Value","3911600000.0","3777600000.0","3643100000.0","3626300000.0","3527700000.0","3446400000.0","3346000000.0","3497300000.0","3404900000.0","3285300000.0","3296100000.0","3232900000.0","3169200000.0","3072700000.0","3080700000.0","3071100000.0","2945400000.0","2917400000.0","2907700000.0","2884500000.0","2769500000.0","2716600000.0","2688800000.0","2632100000.0","2806300000.0","2823200000.0","2738200000.0","2452100000.0","2345200000.0","2307800000.0","2426900000.0","2306600000.0","1987200000.0","1882300000.0","1690200000.0","1819100000.0","1851500000.0","1813400000.0","1711500000.0"
"Net Current Asset Value","-160000000.0","-137900000.0","-204000000.0","-2800000.0","-51100000.0","-59800000.0","-111600000.0","-159700000.0","-176600000.0","-230800000.0","-226200000.0","-113800000.0","-146700000.0","-130700000.0","-183400000.0","-311800000.0","-379400000.0","-381000000.0","-414300000.0","-491700000.0","-537000000.0","-555400000.0","-594900000.0","-532600000.0","-507700000.0","-531100000.0","-559500000.0","-529000000.0","-562900000.0","-511800000.0","-465700000.0","-348100000.0","-276500000.0","-346700000.0","-365100000.0","-217800000.0","-222500000.0","-258500000.0","-297600000.0"
"Invested Capital","3854600000.0","3705700000.0","3586200000.0","3526200000.0","3444300000.0","3388300000.0","3463100000.0","3530300000.0","3462900000.0","3387600000.0","3363800000.0","3293500000.0","3264500000.0","3188300000.0","3119700000.0","3141700000.0","3050900000.0","3013500000.0","3079600000.0","3076700000.0","2984200000.0","2968600000.0","2903500000.0","2858900000.0","2787600000.0","2601500000.0","2455700000.0","2175400000.0","2191400000.0","2134000000.0","2054400000.0","2024400000.0","1661000000.0","1694700000.0","1542300000.0","1560900000.0","1561900000.0","1567200000.0","1497200000.0"
"Average Receivables","2386400000.0","2313000000.0","2255900000.0","2211450000.0","2130550000.0","2064450000.0","2025700000.0","2003800000.0","1943950000.0","1873050000.0","1836250000.0","1819650000.0","1756300000.0","1699650000.0","1662500000.0","1621300000.0","1544100000.0","1506000000.0","1480000000.0","1431000000.0","1371350000.0","1327400000.0","1278250000.0","1215450000.0","1135850000.0","1076900000.0","993700000.0","882150000.0","727300000.0","698500000.0","703800000.0","636800000.0","545050000.0","549300000.0","588150000.0","586550000.0","589350000.0","594100000.0","573050000.0"
"Average Payables","185700000.0","175800000.0","159600000.0","175350000.0","167600000.0","161850000.0","146650000.0","172850000.0","169000000.0","161050000.0","150300000.0","164700000.0","164750000.0","154400000.0","149050000.0","154350000.0","149500000.0","143850000.0","133550000.0","139450000.0","140200000.0","140250000.0","135350000.0","129900000.0","133750000.0","132650000.0","132950000.0","119900000.0","118300000.0","121400000.0","122900000.0","141850000.0","146200000.0","158050000.0","148800000.0","170400000.0","184800000.0","195200000.0","175200000.0"
"Average Inventory","554250000.0","534200000.0","514150000.0","525650000.0","503150000.0","496950000.0","486650000.0","506150000.0","483350000.0","467450000.0","454950000.0","462450000.0","442800000.0","426950000.0","419300000.0","428900000.0","409750000.0","398550000.0","395300000.0","408600000.0","396800000.0","382200000.0","357900000.0","362250000.0","344350000.0","329800000.0","302050000.0","305500000.0","299650000.0","315850000.0","316950000.0","337100000.0","340450000.0","346200000.0","340800000.0","359300000.0","351000000.0","339300000.0","322700000.0"
