"","42946.0","42855.0","42764.0","42673.0","42582.0","42491.0","42400.0","42309.0","42218.0","42127.0","42036.0","41945.0","41854.0","41763.0","41672.0","41581.0","41490.0","41399.0","41308.0","41210.0","41119.0","41028.0","40937.0","40846.0","40755.0","40664.0","40573.0","40482.0","40391.0","40300.0","40209.0","40118.0","40027.0","39754.0","","",""
"Book Value per Share","55.784","55.442","55.163","54.827","56.828","58.066","18.487","17.08","16.155","15.74","14.227","12.92","12.294","12.566","12.016","11.544","10.992","10.614","10.236","9.873","9.343","8.881","8.327","8.289","7.602","7.31","6.793","6.324","5.577","5.042","4.606","4.444","3.559","3.645","","",""
"Tangible Book Value per Share","32.7","30.092","27.193","25.479","23.104","24.712","21.671","20.159","18.075","21.922","22.18","21.028","20.571","11.307","10.494","10.128","9.262","9.939","9.386","9.224","8.547","8.086","7.294","7.314","6.411","5.967","5.12","5.933","4.833","4.218","3.534","4.923","4.408","4.584","","",""
"FCF per Share","3.445","3.293","2.576","2.905","1.859","1.184","1.206","1.895","1.675","2.027","1.353","0.765","0.869","0.709","0.711","0.62","0.29","0.573","0.48","0.58","0.257","0.635","0.376","0.653","0.76","0.955","0.145","0.786","0.485","0.412","0.136","0.111","0.089","0.248","-0.075","0.472",""
"Interest Debt per Share","33.3464","33.665","33.99","34.1905","34.6338","38.2857","14.2166","14.029","14.9472","18.9845","21.5686","21.9482","21.8968","0.0","0.008","0.0","0.0121","0.0122","0.0122","0.0122","0.0122","0.0164","0.0204","0.0248","0.0244","0.0245","0.0289","0.9916","0.9874","0.9916","0.9958","2.5598","3.3099","3.3178","","",""
"Cash per Share","12.8968","10.5558","8.8622","7.7619","4.952","5.2066","7.8303","6.6014","5.1094","9.7209","10.0745","6.3904","5.0675","5.0916","4.4659","3.94","3.4798","4.9553","4.6789","4.4245","3.9714","3.9098","3.3429","3.4256","2.8618","2.4327","1.5","2.3571","1.5356","1.0756","0.6102","2.0171","1.1925","0.9953","","",""
"Debt to Equity Ratio","0.5978","0.6072","0.6162","0.6236","0.6094","0.6593","0.769","0.8214","0.9253","1.2061","1.516","1.6987","1.7811","0.0","0.0007","0.0","0.0011","0.0011","0.0012","0.0012","0.0013","0.0018","0.0025","0.003","0.0032","0.0034","0.0043","0.1568","0.177","0.1967","0.2162","0.576","0.9301","0.9103","","",""
"Total Debt To Total Assets","0.2718","0.2722","0.2733","0.273","0.2757","0.2919","0.3654","0.3682","0.3966","0.4651","0.5142","0.5251","0.5377","0.0","0.0006","0.0","0.0009","0.001","0.001","0.001","0.0011","0.0015","0.002","0.0025","0.0026","0.0028","0.0036","0.1094","0.1229","0.1324","0.144","0.3041","0.3972","0.3795","","",""
"Interest Coverage","5.6429","4.0089","3.2432","2.9717","-1.9856","-4.0195","5.6905","11.8293","7.1163","7.9623","7.7407","5.8333","-3.7818","160.0","0.0","0.0","145.0","119.0","0.0","0.0","0.0","0.0","131.0","0.0","0.0","138.0","41.0","20.7143","16.875","13.375","4.8182","-0.1579","1.4","-0.65","1.6111","1.4286","3.45"
"Current Ratio","4.483","4.127","3.464","2.315","2.217","2.522","4.607","3.359","3.329","4.499","4.85","3.775","4.085","4.889","5.107","4.391","4.318","5.509","6.184","4.887","4.623","4.236","4.369","3.98","3.952","3.811","3.84","1.924","3.063","2.587","2.246","1.365","2.454","1.887","","",""
"Income Quality","3.4428","3.5977","5.6611","-2.1392","-3.2315","-0.5245","1.2573","1.3566","2.4667","1.9273","1.3704","2.8222","-1.9146","1.5886","1.709","1.2326","0.9648","1.6637","1.48","1.3522","0.8828","1.5746","1.112","1.2662","1.4653","1.8741","0.563","1.3232","1.1138","1.2778","1.0789","-2.1905","15.5","-2.129","-0.6667","6.3333",""
"Payout Ratio","0.864","0.936","1.7","-0.313","-0.667","-0.162","0.324","0.268","0.44","0.286","0.254","0.593","-0.446","0.429","0.463","0.333","0.368","0.413","0.333","0.246","0.254","0.236","0.235","0.175","0.153","0.145","0.143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.7335","0.7567","0.7813","0.7965","0.8161","0.8116","0.443","0.4709","0.5204","0.463","0.4713","0.4969","0.4948","0.2269","0.2474","0.2586","0.2831","0.1955","0.2016","0.2103","0.2287","0.2444","0.2688","0.2764","0.3062","0.3284","0.3714","0.3454","0.3984","0.4366","0.489","0.4152","0.471","0.4757","","",""
"Selling, General and Administrative Expense of Revenue","0.0448","0.0487","0.0486","0.0542","0.0607","0.0672","0.0644","0.0641","0.0824","0.0669","0.0716","0.0811","0.108","0.0956","0.1044","0.0813","0.0885","0.0925","0.092","0.0793","0.0809","0.0884","0.0888","0.0883","0.0995","0.0982","0.0909","0.0892","0.0927","0.0932","0.1009","0.1098","0.1102","0.1292","0.1087","0.1074","0.1139"
"Research and Development Expense of Revenue","0.1853","0.1979","0.1952","0.1949","0.2147","0.2223","0.1508","0.156","0.1591","0.1555","0.1437","0.1472","0.1891","0.1626","0.1509","0.1477","0.1568","0.169","0.1615","0.1294","0.1469","0.1456","0.1456","0.1332","0.141","0.1357","0.1327","0.1311","0.1291","0.1359","0.1404","0.1519","0.1625","0.1815","0.1685","0.1544","0.1549"
"Working Capital","7725000000.0","6416000000.0","5228000000.0","4047000000.0","3320000000.0","4036000000.0","3109000000.0","2640000000.0","2217000000.0","3170000000.0","3253000000.0","2819000000.0","2900000000.0","1618000000.0","1495000000.0","1404000000.0","1261000000.0","1488000000.0","1436000000.0","1345000000.0","1239000000.0","1152000000.0","1058000000.0","1043000000.0","918000000.0","832000000.0","673000000.0","522000000.0","588000000.0","446000000.0","309000000.0","231000000.0","365000000.0","291000000.0","","",""
"Tangible Asset Value","13309000000.0","12127000000.0","10850000000.0","10166000000.0","9149000000.0","9687000000.0","6003000000.0","5564000000.0","4790000000.0","5656000000.0","5656000000.0","5278000000.0","5184000000.0","2838000000.0","2613000000.0","2532000000.0","2297000000.0","2445000000.0","2309000000.0","2260000000.0","2094000000.0","1973000000.0","1787000000.0","1770000000.0","1577000000.0","1462000000.0","1239000000.0","1412000000.0","1155000000.0","1004000000.0","834000000.0","1152000000.0","939000000.0","981000000.0","","",""
"Net Current Asset Value","-17295000000.0","-19038000000.0","-20257000000.0","-20965000000.0","-21200000000.0","-21958000000.0","-1685000000.0","-2042000000.0","-2538000000.0","-2395000000.0","-2971000000.0","-3413000000.0","-3324000000.0","1517000000.0","1379000000.0","1289000000.0","1163000000.0","1390000000.0","1339000000.0","1248000000.0","1155000000.0","1064000000.0","968000000.0","953000000.0","826000000.0","742000000.0","583000000.0","435000000.0","286000000.0","145000000.0","12000000.0","-66000000.0","-401000000.0","-472000000.0","","",""
"Invested Capital","19414000000.0","19388000000.0","18754000000.0","17633000000.0","18175000000.0","20003000000.0","6910000000.0","6495000000.0","6445000000.0","7140000000.0","7742000000.0","8167000000.0","8485000000.0","1144000000.0","1139000000.0","1133000000.0","1057000000.0","899000000.0","884000000.0","833000000.0","782000000.0","667000000.0","659000000.0","597000000.0","568000000.0","576000000.0","646000000.0","522000000.0","739000000.0","703000000.0","677000000.0","646000000.0","1139000000.0","1150000000.0","","",""
"Average Receivables","2299000000.0","1965000000.0","1503500000.0","1600000000.0","1495000000.0","1307500000.0","889000000.0","900500000.0","699500000.0","538500000.0","520500000.0","600000000.0","477500000.0","295000000.0","294500000.0","379500000.0","347500000.0","272500000.0","287000000.0","334500000.0","307500000.0","281500000.0","299500000.0","306500000.0","282000000.0","269000000.0","247000000.0","235500000.0","228500000.0","216500000.0","","","","","","",""
"Average Payables","1142500000.0","955000000.0","785000000.0","939000000.0","814000000.0","743000000.0","487500000.0","566000000.0","480000000.0","387500000.0","354500000.0","396500000.0","362500000.0","257000000.0","226500000.0","263000000.0","252500000.0","248500000.0","209000000.0","234500000.0","217500000.0","231500000.0","189000000.0","209500000.0","184000000.0","187500000.0","158000000.0","176000000.0","162000000.0","171500000.0","","","","","","",""
"Average Inventory","1368500000.0","1389000000.0","913000000.0","962000000.0","906500000.0","978500000.0","495000000.0","521500000.0","494500000.0","395500000.0","393000000.0","402000000.0","383000000.0","265000000.0","247000000.0","239500000.0","250000000.0","223500000.0","200500000.0","194000000.0","208000000.0","206000000.0","198000000.0","191500000.0","192500000.0","186000000.0","184500000.0","175500000.0","169000000.0","183000000.0","","","","","","",""
