"","42916.0","42825.0","42734.0","42643.0","42552.0","42461.0","42370.0","42279.0","42188.0","42097.0","42006.0","41915.0","41817.0","41726.0","41635.0","41544.0","41453.0","41362.0","41271.0","41180.0","41089.0","40998.0","40907.0","40816.0","40725.0","40634.0","40543.0","40452.0","40361.0","40270.0","40179.0","40088.0","39997.0","39906.0","39815.0","39724.0","39626.0","39535.0","39444.0"
"Book Value per Share","21.161","20.518","19.807","19.101","18.624","18.629","18.291","16.671","16.011","15.079","14.362","13.485","12.741","12.227","11.881","11.333","10.719","10.599","10.264","10.141","9.671","9.289","9.044","8.761","8.338","8.047","7.811","7.421","6.956","6.782","6.64","6.512","6.074","5.897","5.91","5.757","5.419","5.196","5.059"
"Tangible Book Value per Share","18.282","17.409","16.831","15.723","16.013","16.112","15.952","14.869","13.738","12.659","12.048","10.904","9.825","8.976","8.467","7.917","7.213","7.09","6.678","6.61","6.345","5.904","6.362","6.21","5.641","6.43","6.161","6.008","5.407","5.178","5.169","5.0","4.479","4.29","4.296","4.467","4.503","4.305","4.116"
"FCF per Share","1.092","0.979","2.412","2.372","0.444","0.616","1.396","0.432","0.599","0.374","1.569","0.626","0.701","0.919","0.765","0.642","0.166","0.555","0.64","0.104","0.051","0.492","0.385","0.586","0.359","0.327","0.176","0.248","0.064","0.233","0.222","0.356","0.228","0.098","0.393","0.29","0.073","0.142","0.222"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0931","0.142","0.1401","0.1385","0.1387","0.4213","0.4241","0.5307","0.6912","0.7244","0.8806","0.8863","0.8924","1.1439","1.5423","1.5512","1.5594"
"Cash per Share","7.8393","7.6131","7.3079","5.8457","5.16","6.1909","6.4769","5.5071","5.8211","5.5513","5.5639","4.2907","4.7643","4.2572","3.4834","2.7567","2.1452","2.4314","1.9977","1.6344","1.7601","1.6595","2.4272","2.2366","1.689","2.7496","2.4942","2.5893","2.222","2.3591","2.3301","2.1734","1.8458","1.614","1.5144","1.4088","1.5668","1.4175","1.2788"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0103","0.0162","0.0168","0.0172","0.0178","0.0568","0.061","0.0782","0.1041","0.1112","0.145","0.1503","0.151","0.1987","0.2846","0.2985","0.3082"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0089","0.0138","0.0143","0.0151","0.0155","0.0478","0.0514","0.066","0.0857","0.0912","0.1168","0.1212","0.1214","0.1518","0.2014","0.2069","0.2123"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-148.4","0.0","435.0","156.2225","179.3066","155.3204","147.3883","143.8976","104.2775","61.7486","32.1479","27.0051","17.0408","10.7499","-1.98","11.1107","2.9118","14.3914","11.5613","10.4506"
"Current Ratio","8.019","8.648","7.246","9.525","5.989","6.551","5.748","4.127","5.699","5.623","4.777","4.802","5.908","6.941","7.118","5.973","6.035","5.927","5.778","4.835","3.462","3.101","4.03","3.304","2.914","4.945","5.225","3.866","3.577","3.784","3.231","3.007","2.742","2.655","3.469","3.326","3.377","3.027","2.945"
"Income Quality","1.2758","1.0489","1.9236","1.8436","0.7616","0.7424","0.9719","1.0153","1.0699","0.9309","1.9631","1.1458","1.7864","2.7854","1.6804","1.8705","0.9787","2.1118","2.2195","0.8179","0.8256","3.4402","1.352","1.9118","1.6678","1.8459","1.065","1.5658","1.0508","2.1686","1.8926","1.2949","2.3261","-3.8639","3.296","1.106","1.2803","2.4218","2.9088"
"Payout Ratio","0.209","0.23","0.201","0.211","0.265","0.239","0.139","0.215","0.119","0.148","0.126","0.118","0.186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2187","0.2279","0.235","0.2439","0.2361","0.2258","0.2273","0.2424","0.2581","0.2744","0.2875","0.3114","0.3149","0.3363","0.3526","0.3709","0.3932","0.3965","0.4121","0.4187","0.4344","0.4553","0.3887","0.3967","0.4259","0.2973","0.3103","0.3185","0.3448","0.3564","0.3588","0.3705","0.4058","0.4136","0.4155","0.4073","0.4119","0.4258","0.4398"
"Selling, General and Administrative Expense of Revenue","0.055","0.0561","0.0557","0.0638","0.0624","0.0568","0.0558","0.0538","0.06","0.0622","0.0595","0.07","0.078","0.0871","0.0814","0.0872","0.0924","0.0934","0.084","0.0898","0.0964","0.1102","0.109","0.0973","0.0996","0.0967","0.0913","0.1075","0.107","0.1175","0.109","0.1153","0.1266","0.1318","0.1289","0.1092","0.1207","0.1157","0.1201"
"Research and Development Expense of Revenue","0.1021","0.105","0.0897","0.0876","0.1036","0.103","0.0879","0.0936","0.0948","0.0991","0.085","0.0947","0.1094","0.1281","0.1156","0.1159","0.1298","0.1324","0.1281","0.1344","0.1442","0.1453","0.1192","0.1178","0.1209","0.1217","0.115","0.113","0.1267","0.1347","0.1297","0.1363","0.1551","0.1653","0.1648","0.1667","0.1699","0.1814","0.1619"
"Working Capital","2111200000.0","2041200000.0","1895100000.0","1791900000.0","1731100000.0","1802300000.0","1746800000.0","1450800000.0","1499100000.0","1380300000.0","1257500000.0","1131600000.0","1152500000.0","1086100000.0","1014300000.0","893600000.0","800600000.0","801100000.0","743865000.0","700600000.0","589919000.0","509690000.0","643840000.0","569238000.0","467784000.0","696000000.0","663537000.0","585541000.0","492539000.0","473805000.0","439057000.0","393884000.0","334388000.0","303341000.0","334136000.0","345916000.0","372816000.0","332297000.0","309962000.0"
"Tangible Asset Value","3367600000.0","3217100000.0","3110400000.0","2915100000.0","3021700000.0","3064500000.0","3037200000.0","2817700000.0","2610300000.0","2404000000.0","2273500000.0","2047800000.0","1842100000.0","1682100000.0","1576600000.0","1467800000.0","1345900000.0","1337900000.0","1264740000.0","1242100000.0","1181986000.0","1093406000.0","1170410000.0","1140540000.0","1036603000.0","1179735000.0","1113275000.0","1065956000.0","948865000.0","903332000.0","892767000.0","851453000.0","748304000.0","712062000.0","708201000.0","732682000.0","729890000.0","693794000.0","659834000.0"
"Net Current Asset Value","1999600000.0","1933100000.0","1793100000.0","1688100000.0","1636700000.0","1712100000.0","1666800000.0","1354500000.0","1341800000.0","1229200000.0","1109500000.0","987800000.0","1087400000.0","1025700000.0","956900000.0","841300000.0","741800000.0","746800000.0","692415000.0","652200000.0","541262000.0","465250000.0","605374000.0","535040000.0","438708000.0","670039000.0","617934000.0","542409000.0","456132000.0","423595000.0","390345000.0","346315000.0","281870000.0","251260000.0","232026000.0","202773000.0","167043000.0","125418000.0","102657000.0"
"Invested Capital","1622800000.0","1543300000.0","1456500000.0","1621100000.0","1701000000.0","1562300000.0","1436100000.0","1310200000.0","1185300000.0","1051200000.0","890700000.0","944400000.0","714000000.0","701500000.0","762200000.0","777000000.0","786600000.0","716500000.0","730697000.0","752300000.0","614500000.0","543428000.0","528533000.0","508734000.0","507641000.0","524233000.0","530564000.0","476990000.0","442216000.0","414155000.0","412900000.0","408474000.0","395120000.0","407972000.0","470351000.0","540492000.0","569062000.0","551371000.0","545442000.0"
"Average Receivables","483700000.0","453650000.0","448000000.0","477300000.0","475850000.0","407800000.0","384950000.0","427800000.0","316550000.0","246700000.0","254700000.0","305150000.0","267650000.0","225450000.0","259624500.0","295150000.0","265397000.0","223044000.0","225579500.0","237770000.0","216511500.0","197420000.0","199957500.0","176586000.0","170456000.0","145510500.0","160062500.0","145133000.0","133622500.0","109899500.0","114045500.0","130872000.0","140875500.0","138367000.0","137759000.0","157014500.0","166816000.0","162898000.0","164954500.0"
"Average Payables","180200000.0","172250000.0","176650000.0","200750000.0","204950000.0","205850000.0","201400000.0","245850000.0","196100000.0","178400000.0","159150000.0","163550000.0","139600000.0","118650000.0","109331000.0","133550000.0","125398500.0","124088500.0","103696000.0","127945000.0","126122500.0","124313000.0","108282500.0","113628500.0","109618000.0","94273000.0","98740500.0","90532500.0","76076500.0","62347500.0","64762000.0","63812500.0","59402000.0","62394500.0","60902500.0","57472000.0","63457500.0","68694500.0","62647500.0"
"Average Inventory","460050000.0","389100000.0","349600000.0","345950000.0","355150000.0","304950000.0","275100000.0","269350000.0","235700000.0","246400000.0","249250000.0","250150000.0","215500000.0","221700000.0","227117000.0","231200000.0","221123500.0","211679000.0","203527000.0","215541500.0","199371000.0","173868500.0","159991500.0","161621000.0","153457000.0","127800000.0","120201500.0","105578000.0","103680000.0","98087000.0","98245500.0","94944000.0","92680000.0","93012500.0","92231500.0","92950000.0","89951000.0","85229000.0","78645500.0"
